case_id,category,matched_text,context
delhidc_2021_177284447,procedural_docs,ex.,n these invoices and these dealings. 21.ex.pw­1/1 invoice no.t­00149 dated 23/04/20
delhidc_2021_177284447,procedural_docs,ex.,f dw­1 and also reflects on the invoice ex.pw­1/1 and in the statement of accounts
delhidc_2021_177284447,procedural_docs,ex.,pw­1/1 and in the statement of accounts ex.pw­1/7. 45.as the ledger accounts are be
delhidc_2021_177284447,procedural_docs,ex.,n v. m/s. kapsons enterprises & anr. 22.ex.pw­1/2 invoice no.t­00150 dated 23/04/20
delhidc_2021_177284447,procedural_docs,ex.,ins no doubt regarding this invoice. 23.ex.pw1/3 invoice no.t­00255 dated 09/05/201
delhidc_2021_177284447,procedural_docs,ex.,on 05/07/2013 by cheque as testified by ex.pw1/1 and it is suit no : 2282/16 pg 17
delhidc_2021_177284447,procedural_docs,ex.,e invoice itself and the ledger account ex.pw1/7. the signature on the invoice have
delhidc_2021_177284447,procedural_docs,ex.,also been admitted in cross of dw­1. 24.ex.pw­1/5 invoice no.t­0408 dated 25/05/201
delhidc_2021_177284447,procedural_docs,ex.,nally suggested that goods mentioned in ex.pw­1/5 and ex.pw­ 1/6 have never been de
delhidc_2021_177284447,procedural_docs,ex.,d that goods mentioned in ex.pw­1/5 and ex.pw­ 1/6 have never been delivered. 25.ho
delhidc_2021_177284447,procedural_docs,ex.,ff have already been paid. 26.as far as ex.pw­1/6 is concerned i.e. invoice no.t­04
delhidc_2021_177284447,procedural_docs,ex,"oss­examination, dw­1 has admitted that ex pw 1/6 bears signatures of staff or his"
delhidc_2021_177284447,procedural_docs,ex.,defendants regarding invoice no.t­0408 ex.pw­1/5 and no.t­0447 ex.pw­1/6. 30.hence
delhidc_2021_177284447,procedural_docs,ex.,"voice no.t­0408 ex.pw­1/5 and no.t­0447 ex.pw­1/6. 30.hence, in light of above disc"
delhidc_2021_177284447,procedural_docs,ex.,be safely said that factum of invoices ex.pw­1/1 to ex.pw­1/3 and ex.pw­1/5 and ex
delhidc_2021_177284447,procedural_docs,ex.,id that factum of invoices ex.pw­1/1 to ex.pw­1/3 and ex.pw­1/5 and ex.pw­1/6 is ad
delhidc_2021_177284447,procedural_docs,ex.,of invoices ex.pw­1/1 to ex.pw­1/3 and ex.pw­1/5 and ex.pw­1/6 is admitted by the
delhidc_2021_177284447,procedural_docs,ex.,"x.pw­1/1 to ex.pw­1/3 and ex.pw­1/5 and ex.pw­1/6 is admitted by the defendant, exp"
delhidc_2021_177284447,procedural_docs,ex.,"ant, expressly or impliedly. 31.lastly, ex.pw­1/4 invoice no.t­0407 dated 25/05/201"
delhidc_2021_177284447,procedural_docs,ex.,"mount of rs. 22,686/. 34.on the invoice ex.pw­1/4 there is a noting above the signa"
delhidc_2021_177284447,procedural_docs,ex.,tement regarding invoice no.t­0407 i.e. ex.pw­1/4. 35. at the cost of repetition it
delhidc_2021_177284447,procedural_docs,ex.,handwritten endorsement on the invoice ex.pw­1/4 which is illegible. it is also no
delhidc_2021_177284447,procedural_docs,ex.,mentioned. it is clear that payment qua ex.pw­1/1 and ex.pw­1/2 stood satisfied. ac
delhidc_2021_177284447,procedural_docs,ex.,is clear that payment qua ex.pw­1/1 and ex.pw­1/2 stood satisfied. according to the
delhidc_2021_177284447,procedural_docs,ex.,"the case of defendant, balance only qua ex.pw­1/3 and ex.pw­1/6 would have been due"
delhidc_2021_177284447,procedural_docs,ex.,"fendant, balance only qua ex.pw­1/3 and ex.pw­1/6 would have been due which would b"
delhidc_2021_177284447,procedural_docs,ex,"was paid on 05/07/2013 (i.e. payment on ex pw1/3): 48.further, it is a settled law"
delhidc_2021_177284447,procedural_docs,ex.,ed that discounted amount at point a on ex.pw­1/1 was credited in the ledger accoun
delhidc_2021_177284447,procedural_docs,ex.,"wever, in cross he has pointed out only ex.pw­1/1 and not the said two invoices tha"
delhidc_2021_177284447,procedural_docs,ex.,1 and not the said two invoices that is ex.pw­1/3 dated 09/05/2013 and ex.pw­1/6 da
delhidc_2021_177284447,procedural_docs,ex.,that is ex.pw­1/3 dated 09/05/2013 and ex.pw­1/6 dated 31/05/2013. and it can be s
delhidc_2021_177284447,procedural_docs,ex.,g dealt with in following paras. notice ex.pw­1/8 along with postal receipts ex.pw­
delhidc_2021_177284447,procedural_docs,ex.,ce ex.pw­1/8 along with postal receipts ex.pw­1/9 to ex.pw­1/11 and tracking report
delhidc_2021_177284447,procedural_docs,ex.,along with postal receipts ex.pw­1/9 to ex.pw­1/11 and tracking report ex.pw­1/12 a
